math,shokabo/線形代数１,shokabo/解析入門,kyoritsu/複素関数の基礎
info,impress/Unity C#,cg-arts/コンピュータグラフィックス,kspub/深層学習
phys,kspub/現代の力学,kyoritsu/解析力学講義
lang,Franny&Zooey,chikuma/翻訳仏文法1
